Title,Genre,Premiere,Runtime,IMDB Score,Language
It Takes a Lunatic,Documentary,10/25/2019,126,6.6,English
Dolemite Is My Name,Biopic,10/25/2019,118,7.3,English
A 3 Minute Hug,Documentary,10/28/2019,28,6.5,English/Spanish
Little Miss Sumo,Documentary,10/28/2019,19,6.7,Japanese
The Road to El Camino: A Breaking Bad Movie,Making-of,10/29/2019,13,7.2,English
Drive,Action,11/1/2019,147,3.5,Hindi
American Son,Drama,11/1/2019,90,5.8,English
Holiday in the Wild,Adventure-romance,11/1/2019,85,6.1,English
The King,Historical drama,11/1/2019,140,7.2,English
Fire in Paradise,Documentary,11/1/2019,39,7.4,English
Let It Snow,Romantic comedy,11/8/2019,92,5.8,English
Dead Kids,Thriller,12/1/2019,94,5.5,Filipino
Porta dos Fundos: The First Temptation of Christ,Comedy,12/3/2019,46,4.6,Portuguese
A Christmas Prince: The Royal Baby,Romantic comedy,12/5/2019,85,5.4,English
Marriage Story,Drama,12/6/2019,136,7.9,English
Ghost Stories,Horror anthology,1/1/2020,144,4.3,Hindi
A Fall from Grace,Thriller,1/17/2020,120,5.9,English
What Did Jack Do?,Drama / Short,1/20/2020,17,6.5,English
Airplane Mode,Comedy,1/23/2020,96,5,Portuguese
Miss Americana,Documentary,1/31/2020,85,7.4,English
Horse Girl,Drama,2/7/2020,104,5.9,English
Guilty,Thriller,3/6/2020,119,5.4,Hindi
Spenser Confidential,Action comedy,3/6/2020,111,6.2,English
Sitara: Let Girls Dream,Animation / Short,3/8/2020,15,7.3,English
Sol Levante,Anime / Short,4/2/2020,4,4.7,English
Coffee & Kareem,Action comedy,4/3/2020,88,5.1,English
Mrs. Serial Killer,Thriller,5/1/2020,106,4.8,Hindi
All Day and a Night,Drama,5/1/2020,121,5.8,English
The Half of It,Romance,5/1/2020,105,6.9,English
Becoming,Documentary,5/6/2020,89,6.8,English
Spelling the Dream,Documentary,6/3/2020,83,6.9,English
The Last Days of American Crime,Heist film/Thriller,6/5/2020,149,3.7,English
Choked: Paisa Bolta Hai,Drama,6/5/2020,114,5.8,Hindi
Da 5 Bloods,War drama,6/12/2020,155,6.5,English
One Take,Documentary,6/18/2020,85,5.7,Thai
A Whisker Away,Anime/Fantasy,6/18/2020,104,6.7,Japanese
